Team,Time,Rank,Year
Stanford,1,1,1984
Glassboro,1,2,1984
Massachusetts,1,3,1984
Penn,1,4,1984
Chabot Community College,1,5,1984
Kansas,1,6,1984
Ohio,1,7,1984
Syracuse,1,8,1984
Texas,1,9,1984
Tufts,1,10,1984
Penn,2,1,1985
Massachusetts,2,2,1985
Cornell,2,3,1985
SW Missouri State,2,4,1985
Stanford,2,5,1985
Texas,2,6,1985
Cal Poly SLO,2,7,1985
Kansas,2,8,1985
MIT,2,9,1985
Oregon,2,10,1985
Central Florida,2,11,1985
Princeton,2,12,1985
Massachusetts,3,1,1986
Stanford,3,2,1986
UC Santa Barbara,3,3,1986
Cornell,3,4,1986
Oregon,3,5,1986
SW Missouri State,3,6,1986
Kansas,3,7,1986
MIT,3,8,1986
Carnegie Mellon,3,9,1986
Princeton,3,10,1986
Georgia,3,11,1986
Texas,3,12,1986
Chabot Community College,4,1,1987
UC Santa Barbara,4,2,1987
Cal Poly SLO,4,3,1987
Cornell,4,4,1987
SW Missouri State,4,5,1987
Texas,4,6,1987
Georgia Tech,4,7,1987
Suny-Purchase,4,8,1987
Carnegie Mellon,4,9,1987
Princeton,4,10,1987
Kansas,4,11,1987
Michigan,4,12,1987
East Carolina,4,13,1987
Vermont,4,14,1987
UC Santa Barbara,5,1,1988
Texas,5,2,1988
Stanford,5,3,1988
Columbia,5,4,1988
Georgia Tech,5,5,1988
Kansas,5,6,1988
Carnegie Mellon,5,7,1988
East Carolina,5,8,1988
Saint Louis,5,9,1988
Wesleyan,5,10,1988
Massachusetts,5,11,1988
Winona State,5,12,1988
UC Santa Barbara,6,1,1989
Stanford,6,2,1989
Carnegie Mellon,6,3,1989
Texas,6,4,1989
Columbia,6,5,1989
East Carolina,6,6,1989
Florida,6,7,1989
Indiana,6,8,1989
Kansas,6,9,1989
Penn,6,10,1989
Suny-Purchase,6,11,1989
Tufts,6,12,1989
UC Santa Barbara,7,1,1990
UNC Wilmington,7,2,1990
Suny-Purchase,7,3,1990
Cornell,7,4,1990
Vermont,7,5,1990
UC Santa Cruz,7,6,1990
Wisconsin,7,7,1990
Carleton,7,8,1990
Georgia,7,9,1990
Kansas,7,10,1990
Princeton,7,11,1990
Texas,7,12,1990
UC Santa Cruz,8,1,1991
UNC Wilmington,8,2,1991
UC Santa Barbara,8,3,1991
Cornell,8,4,1991
Penn,8,5,1991
Carleton,8,6,1991
Boston College,8,7,1991
Georgia,8,8,1991
Wisconsin,8,9,1991
East Carolina,8,10,1991
Georgia Tech,8,11,1991
Kansas,8,12,1991
Oregon,9,1,1992
Cornell,9,2,1992
UNC Wilmington,9,3,1992
California,9,4,1992
Carleton,9,5,1992
East Carolina,9,6,1992
Georgia Tech,9,7,1992
Oberlin,9,8,1992
Texas,9,9,1992
Vermont,9,10,1992
Wesleyan,9,11,1992
Wisconsin,9,12,1992
UNC Wilmington,10,1,1993
UC Santa Barbara,10,2,1993
UC Santa Cruz,10,3,1993
Carleton,10,4,1993
East Carolina,10,5,1993
Texas,10,6,1993
Georgia,10,7,1993
Wisconsin,10,8,1993
Boston College,10,9,1993
Kansas,10,10,1993
Suny-Albany,10,11,1993
Wesleyan,10,12,1993
East Carolina,11,1,1994
Stanford,11,2,1994
UC Santa Barbara,11,3,1994
Carleton,11,4,1994
Georgia,11,5,1994
Wisconsin,11,6,1994
Cornell,11,7,1994
Las Positas College,11,8,1994
Kansas,11,9,1994
Penn,11,10,1994
Suny-Binghampton,11,11,1994
Texas,11,12,1994
East Carolina,12,1,1995
UC Santa Cruz,12,2,1995
UNC Wilmington,12,3,1995
Stanford,12,4,1995
Cornell,12,5,1995
Yale,12,6,1995
Carleton,12,7,1995
LSU,12,8,1995
Oberlin,12,9,1995
Williams,12,10,1995
Georgia,12,11,1995
Indiana,12,12,1995
UC Santa Barbara,13,1,1996
Carleton,13,2,1996
Cornell,13,3,1996
Wisconsin,13,4,1996
