team,color
Alabama Huntsville,#0077BE
Arizona,#D94B3E
Auburn,#f0812a
BYU,#FFD700
Boston College,#bc0032
British Columbia,#CDA900
Brown,#964B00
Cal Poly SLO,#68b0a7
California,#1D315E
Carleton,#c1172a
Carnegie Mellon,#64AE46
Case Western Reserve,#2AC1DF
Central Florida,#FEB934
Chabot Community College,#d6b002
Cincinnati,#FF0000
Colorado,#ffd600
Colorado State,#008000
Columbia,#00588c
Connecticut,#9D2235
Cornell,#b31b1b
Dartmouth,#003E10
Delaware,#2A4395
Duke,#0E1D55
East Carolina,#6f4c7a
Eastern Michigan,#BE5628
Florida,#fa4616
Florida State,#972634
Georgetown,#052e65
George Washington,#f2c744
Glassboro,#3C1400
Georgia,#9f0000
Georgia Tech,#1f59a3
Harvard,#FF0000
Illinois,#EA462A
Indiana,#ba141a
Iowa,#e8c03c
Iowa State,#E01009
James Madison,#FF6600
Kansas,#EC2222
Las Positas College,#C90803
LSU,#FFA500
Luther,#1356a3
Maryland,#700b20
Massachusetts,#990033
McGill,#0000FF
Michigan,#1D3088
Michigan State,#18453b
Middlebury,#FF007F
Minnesota,#7D0326
Minnesota-Duluth,#222d45
Missouri,#F04451
MIT,#000000
NC State,#5b0909
North Carolina,#000000
Northeastern,#D50232
North Texas,#228b22
Northwestern,#4B0082
Notre Dame,#0c2340
Oberlin,#ff1be1
Ohio,#305f20
Ohio State,#FF0000
Oregon,#154733
Oregon State,#FF7F00
Ottawa,#009966
Penn,#706383
Penn State,#0F2E50
Pittsburgh,#FFC800
Princeton,#ff8000
Purdue,#FFA500
Queen's,#eac633
Rice,#002e6c
Rutgers,#c10436
Saint Louis,#5171fe
Salisbury,#feb719
Southern California,#990033
Stanford,#800000
SUNY Albany,#442473
SUNY Binghamton,#006670
SUNY Purchase,#FC7C2C
Swarthmore,#7198cd
SW Missouri State,#b0083b
Syracuse,#f46e27
Texas,#FF7F00
Texas A&M,#500000
Texas Dallas,#0060FF
Texas Dallas,#F25A00
Texas State,#ab1f2e
Tufts,#93c6f6
Tulane,#205746
UC Davis,#e5c539
UC San Diego,#0077AA
UC Santa Barbara,#000000
UC Santa Cruz,#FFD700
UCLA,#0000FF
UNC Wilmington,#127748
Utah,#ff0000
Utah State,#2B3775
Vermont,#005834
Victoria,#155EAE
Virginia,#EC6736
Virginia Tech,#1aa44B
WashU,#FF0000
Washington,#4B0082
Wesleyan,#f2002c
Western Washington,#A8915B
Whitman,#3d4da2
William & Mary,#0C5C32
Williams,#6415C1
Winona State,#622F8C
Wisconsin,#89CFF0
Wisconsin-Milwaukee,#000000
Yale,#003061
