Team,Year,Rank,T_Rank
Stanford,1984,1,1
Glassboro,1984,2,2
Massachusetts,1984,3,T3
Penn,1984,4,T3
Chabot Community College,1984,5,?
Kansas,1984,6,?
Ohio,1984,7,?
Syracuse,1984,8,?
Texas,1984,9,?
Tufts,1984,10,?
Penn,1985,1,1
Massachusetts,1985,2,2
Cornell,1985,3,T3
SW Missouri State,1985,4,T3
Stanford,1985,5,T5
Texas,1985,6,T5
Cal Poly SLO,1985,7,T7
Kansas,1985,8,T7
MIT,1985,9,T9
Oregon,1985,10,T9
Central Florida,1985,11,T11
Princeton,1985,12,T11
Massachusetts,1986,1,1
Stanford,1986,2,2
UC Santa Barbara,1986,3,T3
Cornell,1986,4,T3
Oregon,1986,5,T5
SW Missouri State,1986,6,T5
Kansas,1986,7,T7
MIT,1986,8,T7
Carnegie Mellon,1986,9,T9
Princeton,1986,10,T9
Georgia,1986,11,T11
Texas,1986,12,T11
Chabot Community College,1987,1,1
UC Santa Barbara,1987,2,2
Cal Poly SLO,1987,3,T3
Cornell,1987,4,T3
SW Missouri State,1987,5,T5
Texas,1987,6,T5
Georgia Tech,1987,7,T7
SUNY Purchase,1987,8,T7
Carnegie Mellon,1987,9,T9
Princeton,1987,10,T9
Kansas,1987,11,T11
Michigan,1987,12,T11
East Carolina,1987,13,T13
Vermont,1987,14,T13
UC Santa Barbara,1988,1,1
Texas,1988,2,2
Stanford,1988,3,3
Columbia,1988,4,4
Georgia Tech,1988,5,T5
Kansas,1988,6,T5
Carnegie Mellon,1988,7,T7
East Carolina,1988,8,T7
Saint Louis,1988,9,T9
Wesleyan,1988,10,T9
Massachusetts,1988,11,T11
Winona State,1988,12,T11
UC Santa Barbara,1989,1,1
Stanford,1989,2,2
Carnegie Mellon,1989,3,T3
Texas,1989,4,T3
Columbia,1989,5,?
East Carolina,1989,6,?
Florida,1989,7,?
Indiana,1989,8,?
Kansas,1989,9,?
Penn,1989,10,?
SUNY Purchase,1989,11,?
Tufts,1989,12,?
UC Santa Barbara,1990,1,1
UNC Wilmington,1990,2,2
SUNY Purchase,1990,3,3
Cornell,1990,4,4
Vermont,1990,5,5
UC Santa Cruz,1990,6,6
Wisconsin,1990,7,7
Carleton,1990,8,8
Georgia,1990,9,T9
Kansas,1990,10,T9
Princeton,1990,11,T9
Texas,1990,12,T9
UC Santa Cruz,1991,1,1
UNC Wilmington,1991,2,2
UC Santa Barbara,1991,3,3
Cornell,1991,4,4
Penn,1991,5,5
Carleton,1991,6,6
Boston College,1991,7,T7
Georgia,1991,8,T7
Wisconsin,1991,9,T7
East Carolina,1991,10,10
Georgia Tech,1991,11,T11
Kansas,1991,12,T11
Oregon,1992,1,1
Cornell,1992,2,2
UNC Wilmington,1992,3,3
California,1992,4,4
Carleton,1992,5,?
East Carolina,1992,6,?
Georgia Tech,1992,7,?
Oberlin,1992,8,?
Texas,1992,9,?
Vermont,1992,10,?
Wesleyan,1992,11,?
Wisconsin,1992,12,?
UNC Wilmington,1993,1,1
UC Santa Barbara,1993,2,2
UC Santa Cruz,1993,3,T3
Carleton,1993,4,T3
East Carolina,1993,5,T5
Texas,1993,6,T5
Georgia,1993,7,T7
Wisconsin,1993,8,T7
Boston College,1993,9,T9
Kansas,1993,10,T9
SUNY Albany,1993,11,T11
Wesleyan,1993,12,T11
East Carolina,1994,1,1
Stanford,1994,2,2
UC Santa Barbara,1994,3,T3
Carleton,1994,4,T3
Georgia,1994,5,T5
Wisconsin,1994,6,T5
Cornell,1994,7,T7
Las Positas College,1994,8,T7
Kansas,1994,9,T9
Penn,1994,10,T9
SUNY Binghamton,1994,11,T11
Texas,1994,12,T11
East Carolina,1995,1,1
UC Santa Cruz,1995,2,2
UNC Wilmington,1995,3,T3
Stanford,1995,4,T3
Cornell,1995,5,T5
Yale,1995,6,T5
