Team,Year,Rank,T_Rank
Glassboro,1979,1,1
Condors,1979,2,2
Michigan State,1979,3,3
Orlando,1979,4,4
Cornell,1979,5,5
Glassboro,1980,1,1
Aerodisc,1980,2,2
Michigan State,1980,3,3
Condors,1980,4,4
Sky Pilots,1980,5,5
Condors,1981,1,1
Knights Of Nee,1981,2,2
Sky Pilots,1981,3,3
Hostages,1981,4,4
Michigan State,1981,5,5
Rude Boys,1982,1,1
Tunas,1982,2,2
The Gang,1982,3,3
Hostages,1982,4,4
Windy City,1982,5,5
Sky Pilots,1982,6,6
Chain Lightning,1982,7,7
Glassboro,1982,8,8
Fun Hogs,1982,9,9
Flying Circus,1982,10,10
Windy City,1983,1,1
Spinoffs,1983,2,2
Sky Pilots,1983,3,T3
Condors,1983,4,T3
Tunas,1983,5,T5
Rude Boys,1983,6,T5
The Gang,1983,7,T7
Static Disc,1983,8,T7
Kaboom,1983,9,T9
Fat Women,1983,10,T9
Tunas,1984,1,1
Flying Circus,1984,2,2
Windy City,1984,3,T3
Condors,1984,4,T3
Kaboom,1984,5,T5
Rude Boys,1984,6,T5
Refugees,1984,7,T7
Fat Women,1984,8,T7
Static Disc,1984,9,T9
The Gang,1984,10,T9
Flying Circus,1985,1,1
Kaboom,1985,2,2
Windy City,1985,3,T3
Tunas,1985,4,T3
Titanic,1985,5,T5
Rivals,1985,6,T5
Mr. Pouce,1985,7,T7
Condors,1985,8,T7
Cogz,1985,9,T9
Chain Lightning,1985,10,T9
Windy City,1986,1,1
Flying Circus,1986,2,2
Titanic,1986,3,T3
Kaboom,1986,4,T3
Tunas,1986,5,T5
Condors,1986,6,T5
Texas Heat,1986,7,T7
Chain Lightning,1986,8,T7
Mr. Pouce,1986,9,T9
R & B,1986,10,T9
New York,1987,1,1
Windy City,1987,2,2
Tunas,1987,3,T3
Titanic,1987,4,T3
Tsunami,1987,5,T5
Condors,1987,6,T5
Looney Tunes,1987,7,T7
Chain Lightning,1987,8,T7
Yo Mama,1987,9,T9
Drivers,1987,10,T9
Mr. Bubble,1987,11,T11
Texas Heat,1987,12,T11
Tsunami,1988,1,1
Titanic,1988,2,2
Windy City,1988,3,T3
New York,1988,4,T3
Looney Tunes,1988,5,T5
Condors,1988,6,T5
Graffiti,1988,7,T7
Polo Club,1988,8,T7
Philmore,1988,9,T9
Miami,1988,10,T9
Tunas,1988,11,T11
Splat,1988,12,T11
New York,1989,1,1
Tsunami,1989,2,2
Titanic,1989,3,T3
Iguanas,1989,4,T3
Windy City,1989,5,T5
Oregon Donors,1989,6,T5
Amanata,1989,7,T7
Philmore,1989,8,T7
Looney Tunes,1989,9,T9
Chain Lightning,1989,10,T9
Earth Atomizer,1989,11,T11
Jaga,1989,12,T11
New York,1990,1,1
Iguanas,1990,2,2
Windy City,1990,3,T3
First Time Gary,1990,4,T3
Earth Atomizer,1990,5,T5
Tsunami,1990,6,T5
Amanata,1990,7,T7
Arm & Hammer,1990,8,T7
Chain Lightning,1990,9,T9
Condors,1990,10,T9
Electric Pig,1990,11,T11
Vicious Cycle,1990,12,T11
New York,1991,1,1
Big Brother,1991,2,2
Iguanas,1991,3,T3
South Bay,1991,4,T3
Graffiti,1991,5,T5
East Bay,1991,6,T5
Windy City,1991,7,T7
Refugees,1991,8,T7
Electric Pig,1991,9,T9
Philmore,1991,10,T9
"Team ""O""",1991,11,T11
Chain Lightning,1991,12,T11
New York,1992,1,1
Commonwealth,1992,2,2
Windy City,1992,3,T3
Rhino Slam!,1992,4,T3
Ring Of Fire,1992,5,T5
East Bay,1992,6,T5
Graffiti,1992,7,T7
Vicious Cycle,1992,8,T7
Refugees,1992,9,T9
Iguanas,1992,10,T9
