Year,Team,Web_Finish,List_Finish
1979,Glassboro,1,1
1979,Condors,2,2
1979,Michigan State,3,3
1979,Orlando,4,4
1979,Cornell,5,5
1980,Glassboro,1,1
1980,Aerodisc,2,2
1980,Michigan State,3,3
1980,Condors,4,4
1980,Sky Pilots,5,5
1981,Condors,1,1
1981,Knights of Nee,2,2
1981,Sky Pilots,3,3
1981,Hostages,4,4
1981,Michigan State,5,5
1982,Rude Boys,1,1
1982,Tunas,2,2
1982,Gang,3,3
1982,Hostages,4,4
1982,Windy City,5,5
1982,Sky Pilots,6,6
1982,Chain Lightning,7,7
1982,Glassboro,8,8
1982,Fun Hogs,9,9
1982,Flying Circus,10,10
1983,Windy City,1,1
1983,Spinoffs,2,2
1983,Sky Pilots,3T,3
1983,Condors,3T,4
1983,Tunas,5T,5
1983,Rude Boys,5T,6
1983,The Gang,7T,7
1983,Static Disc,7T,8
1983,Kaboom,9T,9
1983,Fat Women,9T,10
1984,Tunas,1,1
1984,Flying Circus,2,2
1984,Windy City,3T,3
1984,Condors,3T,4
1984,Kaboom,5T,5
1984,Rude Boys,5T,6
1984,Miami Refugees,7T,7
1984,Fat Women,7T,8
1984,Static Disc,9T,9
1984,The Gang,9T,10
1985,Flying Circus,1,1
1985,Kaboom,2,2
1985,Windy City,3T,3
1985,Tunas,3T,4
1985,Titanic,5T,5
1985,Rivals,5T,6
1985,Mr. Pouce,7T,7
1985,Condors,7T,8
1985,COGZ,9T,9
1985,Chain Lightning,9T,10
1986,Windy City,1,1
1986,Flying Circus,2,2
1986,Titanic,3T,3
1986,Kaboom,3T,4
1986,Tunas,5T,5
1986,Condors,5T,6
1986,Texas Heat,7T,7
1986,Chain Lightning,7T,8
1986,Mr. Pouce,9T,9
1986,R & B,9T,10
1987,New York,1,1
1987,Windy City,2,2
1987,Tunas,3T,3
1987,Titanic,3T,4
1987,Tsunami,5T,5
1987,Condors,5T,6
1987,Looney Tunes,7T,7
1987,Chain Lightning,7T,8
1987,Yo Mama,9T,9
1987,Drivers,9T,10
1987,Mr. Bubble,11T,11
1987,Texas Heat,11T,12
1988,Tsunami,1,1
1988,Titanic,2,2
1988,Windy City,3T,3
1988,New York,3T,4
1988,Looney Tunes,5T,5
1988,Condors,5T,6
1988,Grafitti,7T,7
