URL,Year,Team,Web_Finish,List_Finish
https://collegechampionships.usaultimate.org/d1-men/history/1984-d-i-men/,1984,Stanford,1,1
https://collegechampionships.usaultimate.org/d1-men/history/1984-d-i-men/,1984,Glassboro,2,2
https://collegechampionships.usaultimate.org/d1-men/history/1984-d-i-men/,1984,Massachusetts,3T,3
https://collegechampionships.usaultimate.org/d1-men/history/1984-d-i-men/,1984,Pennsylvania,3T,4
https://collegechampionships.usaultimate.org/d1-men/history/1984-d-i-men/,1984,Chabot Community College,?,5
https://collegechampionships.usaultimate.org/d1-men/history/1984-d-i-men/,1984,Kansas,?,6
https://collegechampionships.usaultimate.org/d1-men/history/1984-d-i-men/,1984,Ohio,?,7
https://collegechampionships.usaultimate.org/d1-men/history/1984-d-i-men/,1984,Syracuse,?,8
https://collegechampionships.usaultimate.org/d1-men/history/1984-d-i-men/,1984,Texas,?,9
https://collegechampionships.usaultimate.org/d1-men/history/1984-d-i-men/,1984,Tufts,?,10
https://collegechampionships.usaultimate.org/d1-men/history/1985-d-i-men/,1985,Pennsylvania,1,1
https://collegechampionships.usaultimate.org/d1-men/history/1985-d-i-men/,1985,Massachusetts,2,2
https://collegechampionships.usaultimate.org/d1-men/history/1985-d-i-men/,1985,Cornell,3T,3
https://collegechampionships.usaultimate.org/d1-men/history/1985-d-i-men/,1985,SW Missouri State,3T,4
https://collegechampionships.usaultimate.org/d1-men/history/1985-d-i-men/,1985,Stanford,5T,5
https://collegechampionships.usaultimate.org/d1-men/history/1985-d-i-men/,1985,Texas,5T,6
https://collegechampionships.usaultimate.org/d1-men/history/1985-d-i-men/,1985,Cal Poly SLO,7T,7
https://collegechampionships.usaultimate.org/d1-men/history/1985-d-i-men/,1985,Kansas,7T,8
https://collegechampionships.usaultimate.org/d1-men/history/1985-d-i-men/,1985,MIT,9T,9
https://collegechampionships.usaultimate.org/d1-men/history/1985-d-i-men/,1985,Oregon,9T,10
https://collegechampionships.usaultimate.org/d1-men/history/1985-d-i-men/,1985,Central Florida,11T,11
https://collegechampionships.usaultimate.org/d1-men/history/1985-d-i-men/,1985,Princeton,11T,12
https://collegechampionships.usaultimate.org/d1-men/history/1986-d-i-men/,1986,Massachusetts,1,1
https://collegechampionships.usaultimate.org/d1-men/history/1986-d-i-men/,1986,Stanford,2,2
https://collegechampionships.usaultimate.org/d1-men/history/1986-d-i-men/,1986,California-Santa Barbara,3T,3
https://collegechampionships.usaultimate.org/d1-men/history/1986-d-i-men/,1986,Cornell,3T,4
https://collegechampionships.usaultimate.org/d1-men/history/1986-d-i-men/,1986,Oregon,5T,5
https://collegechampionships.usaultimate.org/d1-men/history/1986-d-i-men/,1986,SW Missouri State,5T,6
https://collegechampionships.usaultimate.org/d1-men/history/1986-d-i-men/,1986,Kansas,7T,7
https://collegechampionships.usaultimate.org/d1-men/history/1986-d-i-men/,1986,MIT,7T,8
https://collegechampionships.usaultimate.org/d1-men/history/1986-d-i-men/,1986,Carnegie Mellon,9T,9
https://collegechampionships.usaultimate.org/d1-men/history/1986-d-i-men/,1986,Princeton,9T,10
https://collegechampionships.usaultimate.org/d1-men/history/1986-d-i-men/,1986,Georgia,11T,11
https://collegechampionships.usaultimate.org/d1-men/history/1986-d-i-men/,1986,Texas,11T,12
https://collegechampionships.usaultimate.org/d1-men/history/1987-d-i-men/,1987,Chabot Community College,1,1
https://collegechampionships.usaultimate.org/d1-men/history/1987-d-i-men/,1987,California-Santa Barbara,2,2
https://collegechampionships.usaultimate.org/d1-men/history/1987-d-i-men/,1987,Cal Poly SLO,3T,3
https://collegechampionships.usaultimate.org/d1-men/history/1987-d-i-men/,1987,Cornell,3T,4
https://collegechampionships.usaultimate.org/d1-men/history/1987-d-i-men/,1987,SW Missouri State,5T,5
https://collegechampionships.usaultimate.org/d1-men/history/1987-d-i-men/,1987,Texas,5T,6
https://collegechampionships.usaultimate.org/d1-men/history/1987-d-i-men/,1987,Georgia Tech,7T,7
https://collegechampionships.usaultimate.org/d1-men/history/1987-d-i-men/,1987,SUNY-Purchase,7T,8
https://collegechampionships.usaultimate.org/d1-men/history/1987-d-i-men/,1987,Carnegie Mellon,9T,9
https://collegechampionships.usaultimate.org/d1-men/history/1987-d-i-men/,1987,Princeton,9T,10
https://collegechampionships.usaultimate.org/d1-men/history/1987-d-i-men/,1987,Kansas,11T,11
https://collegechampionships.usaultimate.org/d1-men/history/1987-d-i-men/,1987,Michigan,11T,12
https://collegechampionships.usaultimate.org/d1-men/history/1987-d-i-men/,1987,East Carolina,13T,13
https://collegechampionships.usaultimate.org/d1-men/history/1987-d-i-men/,1987,Vermont,13T,14
https://collegechampionships.usaultimate.org/d1-men/history/1988-d-i-men/,1988,California-Santa Barbara,1,1
https://collegechampionships.usaultimate.org/d1-men/history/1988-d-i-men/,1988,Texas,2,2
https://collegechampionships.usaultimate.org/d1-men/history/1988-d-i-men/,1988,Stanford,3,3
https://collegechampionships.usaultimate.org/d1-men/history/1988-d-i-men/,1988,Columbia,4,4
https://collegechampionships.usaultimate.org/d1-men/history/1988-d-i-men/,1988,Georgia Tech,5T,5
https://collegechampionships.usaultimate.org/d1-men/history/1988-d-i-men/,1988,Kansas,5T,6
https://collegechampionships.usaultimate.org/d1-men/history/1988-d-i-men/,1988,Carnegie Mellon,7T,7
https://collegechampionships.usaultimate.org/d1-men/history/1988-d-i-men/,1988,East Carolina,7T,8
https://collegechampionships.usaultimate.org/d1-men/history/1988-d-i-men/,1988,Saint Louis,9T,9
https://collegechampionships.usaultimate.org/d1-men/history/1988-d-i-men/,1988,Wesleyan,9T,10
https://collegechampionships.usaultimate.org/d1-men/history/1988-d-i-men/,1988,Massachusetts,11T,11
https://collegechampionships.usaultimate.org/d1-men/history/1988-d-i-men/,1988,Winona State,11T,12
https://collegechampionships.usaultimate.org/d1-men/history/1989-d-i-men/,1989,California-Santa Barbara,1,1
https://collegechampionships.usaultimate.org/d1-men/history/1989-d-i-men/,1989,Stanford,2,2
https://collegechampionships.usaultimate.org/d1-men/history/1989-d-i-men/,1989,Carnegie Mellon,3T,3
https://collegechampionships.usaultimate.org/d1-men/history/1989-d-i-men/,1989,Texas,3T,4
https://collegechampionships.usaultimate.org/d1-men/history/1989-d-i-men/,1989,Columbia,?,5
https://collegechampionships.usaultimate.org/d1-men/history/1989-d-i-men/,1989,East Carolina,?,6
https://collegechampionships.usaultimate.org/d1-men/history/1989-d-i-men/,1989,Florida,?,7
https://collegechampionships.usaultimate.org/d1-men/history/1989-d-i-men/,1989,Indiana,?,8
https://collegechampionships.usaultimate.org/d1-men/history/1989-d-i-men/,1989,Kansas,?,9
https://collegechampionships.usaultimate.org/d1-men/history/1989-d-i-men/,1989,Pennsylvania,?,10
https://collegechampionships.usaultimate.org/d1-men/history/1989-d-i-men/,1989,SUNY-Purchase,?,11
https://collegechampionships.usaultimate.org/d1-men/history/1989-d-i-men/,1989,Tufts,?,12
https://collegechampionships.usaultimate.org/d1-men/history/1990-d-i-men/,1990,California-Santa Barbara,1,1
https://collegechampionships.usaultimate.org/d1-men/history/1990-d-i-men/,1990,North Carolina-Wilmington,2,2
https://collegechampionships.usaultimate.org/d1-men/history/1990-d-i-men/,1990,SUNY-Purchase,3,3
https://collegechampionships.usaultimate.org/d1-men/history/1990-d-i-men/,1990,Cornell,4,4
https://collegechampionships.usaultimate.org/d1-men/history/1990-d-i-men/,1990,Vermont,5,5
https://collegechampionships.usaultimate.org/d1-men/history/1990-d-i-men/,1990,California-Santa Cruz,6,6
https://collegechampionships.usaultimate.org/d1-men/history/1990-d-i-men/,1990,Wisconsin,7,7
https://collegechampionships.usaultimate.org/d1-men/history/1990-d-i-men/,1990,Carleton College,8,8
https://collegechampionships.usaultimate.org/d1-men/history/1990-d-i-men/,1990,Georgia,9T,9
https://collegechampionships.usaultimate.org/d1-men/history/1990-d-i-men/,1990,Kansas,9T,10
https://collegechampionships.usaultimate.org/d1-men/history/1990-d-i-men/,1990,Princeton,9T,11
https://collegechampionships.usaultimate.org/d1-men/history/1990-d-i-men/,1990,Texas,9T,12
https://collegechampionships.usaultimate.org/d1-men/history/1991-d-i-men/,1991,California-Santa Cruz,1,1
https://collegechampionships.usaultimate.org/d1-men/history/1991-d-i-men/,1991,North Carolina-Wilmington,2,2
https://collegechampionships.usaultimate.org/d1-men/history/1991-d-i-men/,1991,California-Santa Barbara,3,3
https://collegechampionships.usaultimate.org/d1-men/history/1991-d-i-men/,1991,Cornell,4,4
https://collegechampionships.usaultimate.org/d1-men/history/1991-d-i-men/,1991,Pennsylvania,5,5
https://collegechampionships.usaultimate.org/d1-men/history/1991-d-i-men/,1991,Carleton,6,6
https://collegechampionships.usaultimate.org/d1-men/history/1991-d-i-men/,1991,Boston College,7T,7
https://collegechampionships.usaultimate.org/d1-men/history/1991-d-i-men/,1991,Georgia,7T,8
https://collegechampionships.usaultimate.org/d1-men/history/1991-d-i-men/,1991,Wisconsin,7T,9
https://collegechampionships.usaultimate.org/d1-men/history/1991-d-i-men/,1991,East Carolina,10,10
https://collegechampionships.usaultimate.org/d1-men/history/1991-d-i-men/,1991,Georgia Tech,11T,11
https://collegechampionships.usaultimate.org/d1-men/history/1991-d-i-men/,1991,Kansas,11T,12
https://collegechampionships.usaultimate.org/d1-men/history/1992-d-i-men/,1992,Oregon,1,1
https://collegechampionships.usaultimate.org/d1-men/history/1992-d-i-men/,1992,Cornell,2,2
https://collegechampionships.usaultimate.org/d1-men/history/1992-d-i-men/,1992,North Carolina-Wilmington,3,3
https://collegechampionships.usaultimate.org/d1-men/history/1992-d-i-men/,1992,California,4,4
https://collegechampionships.usaultimate.org/d1-men/history/1992-d-i-men/,1992,Carleton College,?,5
https://collegechampionships.usaultimate.org/d1-men/history/1992-d-i-men/,1992,East Carolina,?,6
https://collegechampionships.usaultimate.org/d1-men/history/1992-d-i-men/,1992,Georgia Tech,?,7
https://collegechampionships.usaultimate.org/d1-men/history/1992-d-i-men/,1992,Oberlin,?,8
https://collegechampionships.usaultimate.org/d1-men/history/1992-d-i-men/,1992,Texas,?,9
https://collegechampionships.usaultimate.org/d1-men/history/1992-d-i-men/,1992,Vermont,?,10
https://collegechampionships.usaultimate.org/d1-men/history/1992-d-i-men/,1992,Wesleyan,?,11
https://collegechampionships.usaultimate.org/d1-men/history/1992-d-i-men/,1992,Wisconsin,?,12
https://collegechampionships.usaultimate.org/d1-men/history/1993-d-i-men/,1993,North Carolina-Wilmington,1,1
https://collegechampionships.usaultimate.org/d1-men/history/1993-d-i-men/,1993,California-Santa Barbara,2,2
https://collegechampionships.usaultimate.org/d1-men/history/1993-d-i-men/,1993,California-Santa Cruz,3T,3
