team,url,color
Alabama Huntsville,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/Alabama-Huntsville.jpeg,#0077be
Arizona,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/Arizona.png,#d94b3e
Auburn,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/Auburn.jpg,#f0812a
BYU,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/BYU.png,#ffd700
Boston College,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/Boston College.gif,#bc0032
British Columbia,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/British Columbia.jpg,#cda900
Brown,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/Brown.jpeg,#964b00
Cal Poly SLO,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/Cal Poly SLO.jpg,#68b0a7
UC San Diego,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/UC San Diego.jpg,#0077aa
UC Santa Barbara,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/UC Santa Barbara.jpg,#000000
UC Santa Cruz,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/UC Santa Cruz.jpg,#ffd700
California,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/California.jpg,#1d315e
Carleton,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/Carleton.png,#c1172a
Carnegie Mellon,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/Carnegie Mellon.png,#64ae46
Case Western Reserve,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/Case Western Reserve.png,#2ac1df
Central Florida,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/Central Florida.png,#feb934
Chabot Community College,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/Chabot Community College.jpeg,#d6b002
Cincinnati,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/Cincinnati.png,#ff0000
Colorado College,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/Colorado College.jpg,#90a10c
Colorado State,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/Colorado State.png,#008000
Colorado,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/Colorado.png,#ffd600
Connecticut,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/Connecticut.jpg,#9d2235
Cornell,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/Cornell.jpg,#b31b1b
