Team,Year,Rank,T_Rank
Kansas,1987,1,1
UC Davis,1987,2,2
Humboldt State,1987,3,3
Massachusetts,1987,4,4
Cornell,1987,5,5
Earlham,1987,6,6
Vermont,1987,7,7
UC Santa Barbara,1988,1,1
UC Davis,1988,2,2
Humboldt State,1988,3,T3
Oregon,1988,4,T3
Carleton,1988,5,T5
Massachusetts,1988,6,T5
Cornell,1988,7,T7
Wisconsin,1988,8,T7
Florida,1988,9,T9
Kansas,1988,10,T9
UC Davis,1989,1,1
Michigan,1989,2,2
UC Santa Barbara,1989,3,T3
Carleton,1989,4,T3
Cornell,1989,5,?
North Carolina-Wilmington,1989,6,?
Oregon,1989,7,?
Pennsylvania,1989,8,?
SUNY-Binghamton,1989,9,?
Towson,1989,10,?
UC Santa Barbara,1990,1,1
Michigan,1990,2,2
Cornell,1990,3,3
Carleton,1990,4,4
UC Davis,1990,5,5
Carnegie Mellon,1990,6,6
Columbia,1990,7,T7
Kansas,1990,8,T7
Pennsylvania,1990,9,T9
Wesleyan,1990,10,T9
UC Santa Barbara,1991,1,1
California,1991,2,2
Carleton,1991,3,T3
Cornell,1991,4,T3
North Carolina-Wilmington,1991,5,T5
Virginia,1991,6,T5
Columbia,1991,7,T7
Kansas,1991,8,T7
Carnegie Mellon,1991,9,T9
Tufts,1991,10,T9
North Carolina-Wilmington,1992,1,1
Oregon,1992,2,2
California,1992,3,T3
Columbia,1992,4,T3
Carleton,1992,5,T5
Cornell,1992,6,T5
Pennsylvania,1992,7,T5
Kansas,1992,8,T5
Brown,1992,9,T9
Georgia Tech,1992,10,T9
California,1993,1,1
North Carolina-Wilmington,1993,2,2
Carleton,1993,3,T3
Humboldt State,1993,4,T3
Columbia,1993,5,T5
Cornell,1993,6,T5
Indiana,1993,7,T5
Pennsylvania,1993,8,T5
Kansas,1993,9,T9
Williams,1993,10,T9
UC Santa Cruz,1994,1,1
UC Santa Barbara,1994,2,2
Indiana,1994,3,T3
North Carolina-Wilmington,1994,4,T3
Carleton,1994,5,T5
Columbia,1994,6,T5
Cornell,1994,7,T5
Kansas,1994,8,T5
East Carolina,1994,9,T9
Tufts,1994,10,T9
UC Santa Cruz,1995,1,1
Stanford,1995,2,2
Colorado,1995,3,T3
North Carolina-Wilmington,1995,4,T3
Columbia,1995,5,T5
Pennsylvania,1995,6,T5
Indiana,1995,7,T7
Yale,1995,8,T7
Carleton,1995,9,T9
Williams,1995,10,T9
North Carolina-Wilmington,1996,1,1
Stanford,1996,2,2
