URL,Year,Team,Web_Finish,List_Finish
https://collegechampionships.usaultimate.org/d1-women/history/1987-d-i-women/,1987,Kansas,1,1
https://collegechampionships.usaultimate.org/d1-women/history/1987-d-i-women/,1987,California- Davis,2,2
https://collegechampionships.usaultimate.org/d1-women/history/1987-d-i-women/,1987,Humboldt State,3,3
https://collegechampionships.usaultimate.org/d1-women/history/1987-d-i-women/,1987,Massachusetts,4,4
https://collegechampionships.usaultimate.org/d1-women/history/1987-d-i-women/,1987,Cornell,5,5
https://collegechampionships.usaultimate.org/d1-women/history/1987-d-i-women/,1987,Earlham,6,6
https://collegechampionships.usaultimate.org/d1-women/history/1987-d-i-women/,1987,Vermont,7,7
https://collegechampionships.usaultimate.org/d1-women/history/1988-d-i-women/,1988,California-Santa Barbara,1,1
https://collegechampionships.usaultimate.org/d1-women/history/1988-d-i-women/,1988,California-Davis,2,2
https://collegechampionships.usaultimate.org/d1-women/history/1988-d-i-women/,1988,Humboldt State,3T,3
https://collegechampionships.usaultimate.org/d1-women/history/1988-d-i-women/,1988,Oregon,3T,4
https://collegechampionships.usaultimate.org/d1-women/history/1988-d-i-women/,1988,Carleton College,5T,5
https://collegechampionships.usaultimate.org/d1-women/history/1988-d-i-women/,1988,Massachusetts,5T,6
https://collegechampionships.usaultimate.org/d1-women/history/1988-d-i-women/,1988,Cornell,7T,7
https://collegechampionships.usaultimate.org/d1-women/history/1988-d-i-women/,1988,Wisconsin,7T,8
https://collegechampionships.usaultimate.org/d1-women/history/1988-d-i-women/,1988,Florida,9T,9
https://collegechampionships.usaultimate.org/d1-women/history/1988-d-i-women/,1988,Kansas,9T,10
https://collegechampionships.usaultimate.org/d1-women/history/1989-d-i-women/,1989,California-Davis,1,1
https://collegechampionships.usaultimate.org/d1-women/history/1989-d-i-women/,1989,Michigan,2,2
https://collegechampionships.usaultimate.org/d1-women/history/1989-d-i-women/,1989,California- Santa Barbara,3T,3
https://collegechampionships.usaultimate.org/d1-women/history/1989-d-i-women/,1989,Carleton College,3T,4
https://collegechampionships.usaultimate.org/d1-women/history/1989-d-i-women/,1989,Cornell,?,5
https://collegechampionships.usaultimate.org/d1-women/history/1989-d-i-women/,1989,North Carolina-Wilmington,?,6
https://collegechampionships.usaultimate.org/d1-women/history/1989-d-i-women/,1989,Oregon,?,7
https://collegechampionships.usaultimate.org/d1-women/history/1989-d-i-women/,1989,Pennsylvania,?,8
https://collegechampionships.usaultimate.org/d1-women/history/1989-d-i-women/,1989,SUNY-Binghampton,?,9
https://collegechampionships.usaultimate.org/d1-women/history/1989-d-i-women/,1989,Towson,?,10
https://collegechampionships.usaultimate.org/d1-women/history/1990-d-i-women/,1990,California-Santa Barbara,1,1
https://collegechampionships.usaultimate.org/d1-women/history/1990-d-i-women/,1990,Michigan,2,2
https://collegechampionships.usaultimate.org/d1-women/history/1990-d-i-women/,1990,Cornell,3,3
https://collegechampionships.usaultimate.org/d1-women/history/1990-d-i-women/,1990,Carleton College,4,4
https://collegechampionships.usaultimate.org/d1-women/history/1990-d-i-women/,1990,California-Davis,5,5
https://collegechampionships.usaultimate.org/d1-women/history/1990-d-i-women/,1990,Carnegie Mellon,6,6
https://collegechampionships.usaultimate.org/d1-women/history/1990-d-i-women/,1990,Columbia,7T,7
https://collegechampionships.usaultimate.org/d1-women/history/1990-d-i-women/,1990,Kansas,7T,8
https://collegechampionships.usaultimate.org/d1-women/history/1990-d-i-women/,1990,Pennsylvania,9T,9
https://collegechampionships.usaultimate.org/d1-women/history/1990-d-i-women/,1990,Wesleyan,9T,10
https://collegechampionships.usaultimate.org/d1-women/history/1991-d-i-women/,1991,California- Santa Barbara,1,1
https://collegechampionships.usaultimate.org/d1-women/history/1991-d-i-women/,1991,California,2,2
https://collegechampionships.usaultimate.org/d1-women/history/1991-d-i-women/,1991,Carleton College,3T,3
https://collegechampionships.usaultimate.org/d1-women/history/1991-d-i-women/,1991,Cornell,3T,4
https://collegechampionships.usaultimate.org/d1-women/history/1991-d-i-women/,1991,North Carolina-Wilmington,5T,5
https://collegechampionships.usaultimate.org/d1-women/history/1991-d-i-women/,1991,Virginia,5T,6
https://collegechampionships.usaultimate.org/d1-women/history/1991-d-i-women/,1991,Columbia,7T,7
https://collegechampionships.usaultimate.org/d1-women/history/1991-d-i-women/,1991,Kansas,7T,8
https://collegechampionships.usaultimate.org/d1-women/history/1991-d-i-women/,1991,Carnegie Mellon,9T,9
https://collegechampionships.usaultimate.org/d1-women/history/1991-d-i-women/,1991,Tufts,9T,10
https://collegechampionships.usaultimate.org/d1-women/history/1992-d-i-women/,1992,North Carolina-Wilmington,1,1
https://collegechampionships.usaultimate.org/d1-women/history/1992-d-i-women/,1992,Oregon,2,2
https://collegechampionships.usaultimate.org/d1-women/history/1992-d-i-women/,1992,California,3T,3
https://collegechampionships.usaultimate.org/d1-women/history/1992-d-i-women/,1992,Columbia,3T,4
https://collegechampionships.usaultimate.org/d1-women/history/1992-d-i-women/,1992,Carleton College,5T,5
https://collegechampionships.usaultimate.org/d1-women/history/1992-d-i-women/,1992,Cornell,5T,6
https://collegechampionships.usaultimate.org/d1-women/history/1992-d-i-women/,1992,Pennsylvania,5T,7
https://collegechampionships.usaultimate.org/d1-women/history/1992-d-i-women/,1992,Kansas,5T,8
https://collegechampionships.usaultimate.org/d1-women/history/1992-d-i-women/,1992,Brown,9T,9
https://collegechampionships.usaultimate.org/d1-women/history/1992-d-i-women/,1992,Georgia Tech,9T,10
https://collegechampionships.usaultimate.org/d1-women/history/1993-d-i-women/,1993,California,1,1
https://collegechampionships.usaultimate.org/d1-women/history/1993-d-i-women/,1993,North Carolina-Wilmington,2,2
https://collegechampionships.usaultimate.org/d1-women/history/1993-d-i-women/,1993,Carleton College,3T,3
https://collegechampionships.usaultimate.org/d1-women/history/1993-d-i-women/,1993,Humboldt State,3T,4
https://collegechampionships.usaultimate.org/d1-women/history/1993-d-i-women/,1993,Columbia,5T,5
https://collegechampionships.usaultimate.org/d1-women/history/1993-d-i-women/,1993,Cornell,5T,6
https://collegechampionships.usaultimate.org/d1-women/history/1993-d-i-women/,1993,Indiana,5T,7
https://collegechampionships.usaultimate.org/d1-women/history/1993-d-i-women/,1993,Pennsylvania,5T,8
https://collegechampionships.usaultimate.org/d1-women/history/1993-d-i-women/,1993,Kansas,9T,9
https://collegechampionships.usaultimate.org/d1-women/history/1993-d-i-women/,1993,Williams,9T,10
https://collegechampionships.usaultimate.org/d1-women/history/1994-d-i-women/,1994,California-Santa Cruz,1,1
https://collegechampionships.usaultimate.org/d1-women/history/1994-d-i-women/,1994,California-Santa Barbara,2,2
https://collegechampionships.usaultimate.org/d1-women/history/1994-d-i-women/,1994,Indiana,3T,3
https://collegechampionships.usaultimate.org/d1-women/history/1994-d-i-women/,1994,North Carolina-Wilmington,3T,4
https://collegechampionships.usaultimate.org/d1-women/history/1994-d-i-women/,1994,Carleton College,5T,5
https://collegechampionships.usaultimate.org/d1-women/history/1994-d-i-women/,1994,Columbia,5T,6
https://collegechampionships.usaultimate.org/d1-women/history/1994-d-i-women/,1994,Cornell,5T,7
https://collegechampionships.usaultimate.org/d1-women/history/1994-d-i-women/,1994,Kansas,5T,8
https://collegechampionships.usaultimate.org/d1-women/history/1994-d-i-women/,1994,East Carolina,9T,9
https://collegechampionships.usaultimate.org/d1-women/history/1994-d-i-women/,1994,Tufts,9T,10
https://collegechampionships.usaultimate.org/d1-women/history/1995-d-i-women/,1995,California- Santa Cruz,1,1
https://collegechampionships.usaultimate.org/d1-women/history/1995-d-i-women/,1995,Stanford,2,2
https://collegechampionships.usaultimate.org/d1-women/history/1995-d-i-women/,1995,Colorado,3T,3
https://collegechampionships.usaultimate.org/d1-women/history/1995-d-i-women/,1995,North Carolina-Wilmington,3T,4
https://collegechampionships.usaultimate.org/d1-women/history/1995-d-i-women/,1995,Columbia,5T,5
https://collegechampionships.usaultimate.org/d1-women/history/1995-d-i-women/,1995,Pennsylvania,5T,6
https://collegechampionships.usaultimate.org/d1-women/history/1995-d-i-women/,1995,Indiana,7T,7
https://collegechampionships.usaultimate.org/d1-women/history/1995-d-i-women/,1995,Yale,7T,8
https://collegechampionships.usaultimate.org/d1-women/history/1995-d-i-women/,1995,Carleton College,9T,9
https://collegechampionships.usaultimate.org/d1-women/history/1995-d-i-women/,1995,Williams,9T,10
https://collegechampionships.usaultimate.org/d1-women/history/1996-d-i-women/,1996,North Carolina-Wilmington,1,1
https://collegechampionships.usaultimate.org/d1-women/history/1996-d-i-women/,1996,Stanford,2,2
https://collegechampionships.usaultimate.org/d1-women/history/1996-d-i-women/,1996,Calif0rnia,3T,3
https://collegechampionships.usaultimate.org/d1-women/history/1996-d-i-women/,1996,Carleton College,3T,4
https://collegechampionships.usaultimate.org/d1-women/history/1996-d-i-women/,1996,Colorado,5T,5
https://collegechampionships.usaultimate.org/d1-women/history/1996-d-i-women/,1996,Cornell,5T,6
https://collegechampionships.usaultimate.org/d1-women/history/1996-d-i-women/,1996,Indiana,5T,7
https://collegechampionships.usaultimate.org/d1-women/history/1996-d-i-women/,1996,Yale,5T,8
https://collegechampionships.usaultimate.org/d1-women/history/1996-d-i-women/,1996,Florida State,9T,9
https://collegechampionships.usaultimate.org/d1-women/history/1996-d-i-women/,1996,Pennsylvania,9T,10
https://collegechampionships.usaultimate.org/d1-women/history/1997-d-i-women/,1997,Stanford,1,1
https://collegechampionships.usaultimate.org/d1-women/history/1997-d-i-women/,1997,British Columbia,2,2
https://collegechampionships.usaultimate.org/d1-women/history/1997-d-i-women/,1997,Carleton College,3T,3
https://collegechampionships.usaultimate.org/d1-women/history/1997-d-i-women/,1997,Rutgers,3T,4
https://collegechampionships.usaultimate.org/d1-women/history/1997-d-i-women/,1997,Brown,5T,5
https://collegechampionships.usaultimate.org/d1-women/history/1997-d-i-women/,1997,North Carolina-Wilmington,5T,6
https://collegechampionships.usaultimate.org/d1-women/history/1997-d-i-women/,1997,Oberlin,5T,7
https://collegechampionships.usaultimate.org/d1-women/history/1997-d-i-women/,1997,Yale,5T,8
https://collegechampionships.usaultimate.org/d1-women/history/1997-d-i-women/,1997,Georgia,9T,9
https://collegechampionships.usaultimate.org/d1-women/history/1997-d-i-women/,1997,Rice,9T,10
https://collegechampionships.usaultimate.org/d1-women/history/1998-d-i-women/,1998,Stanford,1,1
https://collegechampionships.usaultimate.org/d1-women/history/1998-d-i-women/,1998,Carleton College,2,2
https://collegechampionships.usaultimate.org/d1-women/history/1998-d-i-women/,1998,Oregon,3T,3
https://collegechampionships.usaultimate.org/d1-women/history/1998-d-i-women/,1998,Yale,3T,4
https://collegechampionships.usaultimate.org/d1-women/history/1998-d-i-women/,1998,Cornell,5T,5
https://collegechampionships.usaultimate.org/d1-women/history/1998-d-i-women/,1998,North Carolina-Wilmington,5T,6
https://collegechampionships.usaultimate.org/d1-women/history/1998-d-i-women/,1998,Indiana,7T,7
https://collegechampionships.usaultimate.org/d1-women/history/1998-d-i-women/,1998,Rutgers,7T,8
https://collegechampionships.usaultimate.org/d1-women/history/1998-d-i-women/,1998,Georgia,9T,9
https://collegechampionships.usaultimate.org/d1-women/history/1998-d-i-women/,1998,MIT,9T,10
https://collegechampionships.usaultimate.org/d1-women/history/1998-d-i-women/,1998,Rice,11T,11
https://collegechampionships.usaultimate.org/d1-women/history/1998-d-i-women/,1998,Wisconsin,11T,12
https://collegechampionships.usaultimate.org/d1-women/history/1999-d-i-women/,1999,Stanford,1,1
https://collegechampionships.usaultimate.org/d1-women/history/1999-d-i-women/,1999,Carleton College,2,2
https://collegechampionships.usaultimate.org/d1-women/history/1999-d-i-women/,1999,Brown,3T,3
https://collegechampionships.usaultimate.org/d1-women/history/1999-d-i-women/,1999,Georgia,3T,4
https://collegechampionships.usaultimate.org/d1-women/history/1999-d-i-women/,1999,British Columbia,5T,5
https://collegechampionships.usaultimate.org/d1-women/history/1999-d-i-women/,1999,California- San Diego,5T,6
https://collegechampionships.usaultimate.org/d1-women/history/1999-d-i-women/,1999,Swarthmore,7T,7
https://collegechampionships.usaultimate.org/d1-women/history/1999-d-i-women/,1999,Yale,7T,8
https://collegechampionships.usaultimate.org/d1-women/history/1999-d-i-women/,1999,Illinois,9T,9
https://collegechampionships.usaultimate.org/d1-women/history/1999-d-i-women/,1999,Princeton,9T,10
https://collegechampionships.usaultimate.org/d1-women/history/1999-d-i-women/,1999,Kansas,11T,11
https://collegechampionships.usaultimate.org/d1-women/history/1999-d-i-women/,1999,Minnesota,11T,12
