Team,Year,Rank,T_Rank,Division
Stanford,1984,1,1,College Men's
Glassboro,1984,2,2,College Men's
Massachusetts,1984,3,T3,College Men's
Penn,1984,4,T3,College Men's
Chabot Community College,1984,5,?,College Men's
Kansas,1984,6,?,College Men's
Ohio,1984,7,?,College Men's
Syracuse,1984,8,?,College Men's
Texas,1984,9,?,College Men's
Tufts,1984,10,?,College Men's
Penn,1985,1,1,College Men's
Massachusetts,1985,2,2,College Men's
Cornell,1985,3,T3,College Men's
SW Missouri State,1985,4,T3,College Men's
Stanford,1985,5,T5,College Men's
Texas,1985,6,T5,College Men's
Cal Poly SLO,1985,7,T7,College Men's
Kansas,1985,8,T7,College Men's
MIT,1985,9,T9,College Men's
Oregon,1985,10,T9,College Men's
Central Florida,1985,11,T11,College Men's
Princeton,1985,12,T11,College Men's
Massachusetts,1986,1,1,College Men's
Stanford,1986,2,2,College Men's
UC Santa Barbara,1986,3,T3,College Men's
Cornell,1986,4,T3,College Men's
Oregon,1986,5,T5,College Men's
SW Missouri State,1986,6,T5,College Men's
Kansas,1986,7,T7,College Men's
MIT,1986,8,T7,College Men's
Carnegie Mellon,1986,9,T9,College Men's
Princeton,1986,10,T9,College Men's
Georgia,1986,11,T11,College Men's
Texas,1986,12,T11,College Men's
Chabot Community College,1987,1,1,College Men's
UC Santa Barbara,1987,2,2,College Men's
Cal Poly SLO,1987,3,T3,College Men's
Cornell,1987,4,T3,College Men's
SW Missouri State,1987,5,T5,College Men's
Texas,1987,6,T5,College Men's
Georgia Tech,1987,7,T7,College Men's
SUNY Purchase,1987,8,T7,College Men's
Carnegie Mellon,1987,9,T9,College Men's
Princeton,1987,10,T9,College Men's
Kansas,1987,11,T11,College Men's
Michigan,1987,12,T11,College Men's
East Carolina,1987,13,T13,College Men's
Vermont,1987,14,T13,College Men's
UC Santa Barbara,1988,1,1,College Men's
Texas,1988,2,2,College Men's
Stanford,1988,3,3,College Men's
Columbia,1988,4,4,College Men's
Georgia Tech,1988,5,T5,College Men's
Kansas,1988,6,T5,College Men's
Carnegie Mellon,1988,7,T7,College Men's
East Carolina,1988,8,T7,College Men's
Saint Louis,1988,9,T9,College Men's
Wesleyan,1988,10,T9,College Men's
Massachusetts,1988,11,T11,College Men's
Winona State,1988,12,T11,College Men's
UC Santa Barbara,1989,1,1,College Men's
Stanford,1989,2,2,College Men's
Carnegie Mellon,1989,3,T3,College Men's
Texas,1989,4,T3,College Men's
Columbia,1989,5,?,College Men's
East Carolina,1989,6,?,College Men's
Florida,1989,7,?,College Men's
Indiana,1989,8,?,College Men's
Kansas,1989,9,?,College Men's
Penn,1989,10,?,College Men's
SUNY Purchase,1989,11,?,College Men's
Tufts,1989,12,?,College Men's
UC Santa Barbara,1990,1,1,College Men's
UNC Wilmington,1990,2,2,College Men's
SUNY Purchase,1990,3,3,College Men's
Cornell,1990,4,4,College Men's
Vermont,1990,5,5,College Men's
UC Santa Cruz,1990,6,6,College Men's
Wisconsin,1990,7,7,College Men's
Carleton,1990,8,8,College Men's
Georgia,1990,9,T9,College Men's
Kansas,1990,10,T9,College Men's
Princeton,1990,11,T9,College Men's
Texas,1990,12,T9,College Men's
UC Santa Cruz,1991,1,1,College Men's
UNC Wilmington,1991,2,2,College Men's
UC Santa Barbara,1991,3,3,College Men's
Cornell,1991,4,4,College Men's
Penn,1991,5,5,College Men's
Carleton,1991,6,6,College Men's
Boston College,1991,7,T7,College Men's
Georgia,1991,8,T7,College Men's
Wisconsin,1991,9,T7,College Men's
East Carolina,1991,10,10,College Men's
Georgia Tech,1991,11,T11,College Men's
Kansas,1991,12,T11,College Men's
Oregon,1992,1,1,College Men's
Cornell,1992,2,2,College Men's
UNC Wilmington,1992,3,3,College Men's
California,1992,4,4,College Men's
Carleton,1992,5,?,College Men's
East Carolina,1992,6,?,College Men's
Georgia Tech,1992,7,?,College Men's
Oberlin,1992,8,?,College Men's
Texas,1992,9,?,College Men's
Vermont,1992,10,?,College Men's
Wesleyan,1992,11,?,College Men's
Wisconsin,1992,12,?,College Men's
UNC Wilmington,1993,1,1,College Men's
UC Santa Barbara,1993,2,2,College Men's
UC Santa Cruz,1993,3,T3,College Men's
Carleton,1993,4,T3,College Men's
East Carolina,1993,5,T5,College Men's
Texas,1993,6,T5,College Men's
Georgia,1993,7,T7,College Men's
Wisconsin,1993,8,T7,College Men's
Boston College,1993,9,T9,College Men's
Kansas,1993,10,T9,College Men's
SUNY Albany,1993,11,T11,College Men's
Wesleyan,1993,12,T11,College Men's
East Carolina,1994,1,1,College Men's
Stanford,1994,2,2,College Men's
UC Santa Barbara,1994,3,T3,College Men's
Carleton,1994,4,T3,College Men's
Georgia,1994,5,T5,College Men's
Wisconsin,1994,6,T5,College Men's
Cornell,1994,7,T7,College Men's
Las Positas College,1994,8,T7,College Men's
Kansas,1994,9,T9,College Men's
Penn,1994,10,T9,College Men's
SUNY Binghamton,1994,11,T11,College Men's
Texas,1994,12,T11,College Men's
East Carolina,1995,1,1,College Men's
UC Santa Cruz,1995,2,2,College Men's
UNC Wilmington,1995,3,T3,College Men's
Stanford,1995,4,T3,College Men's
Cornell,1995,5,T5,College Men's
Yale,1995,6,T5,College Men's
Carleton,1995,7,T7,College Men's
LSU,1995,8,T7,College Men's
Oberlin,1995,9,T9,College Men's
Williams,1995,10,T9,College Men's
Georgia,1995,11,T11,College Men's
Indiana,1995,12,T11,College Men's
UC Santa Barbara,1996,1,1,College Men's
Carleton,1996,2,2,College Men's
Cornell,1996,3,T3,College Men's
Wisconsin,1996,4,T3,College Men's
UNC Wilmington,1996,5,T5,College Men's
Stanford,1996,6,T5,College Men's
Georgia,1996,7,T7,College Men's
NC State,1996,8,T7,College Men's
Wesleyan,1996,9,T9,College Men's
Williams,1996,10,T9,College Men's
Indiana,1996,11,T11,College Men's
Florida State,1996,12,T11,College Men's
UC Santa Barbara,1997,1,1,College Men's
Stanford,1997,2,2,College Men's
Carleton,1997,3,T3,College Men's
East Carolina,1997,4,T3,College Men's
UNC Wilmington,1997,5,T5,College Men's
Wisconsin,1997,6,T5,College Men's
Cornell,1997,7,T7,College Men's
Rice,1997,8,T7,College Men's
Oberlin,1997,9,T9,College Men's
Wesleyan,1997,10,T9,College Men's
LSU,1997,11,T11,College Men's
Yale,1997,12,T11,College Men's
UC Santa Barbara,1998,1,1,College Men's
Stanford,1998,2,2,College Men's
Brown,1998,3,T3,College Men's
North Carolina,1998,4,T3,College Men's
Carleton,1998,5,T5,College Men's
Colorado,1998,6,T5,College Men's
Harvard,1998,7,T7,College Men's
LSU,1998,8,T7,College Men's
East Carolina,1998,9,T9,College Men's
Iowa,1998,10,T9,College Men's
Rice,1998,11,T11,College Men's
Yale,1998,12,T11,College Men's
NC State,1999,1,1,College Men's
UC Santa Barbara,1999,2,2,College Men's
Brown,1999,3,T3,College Men's
Carleton,1999,4,T3,College Men's
UC Santa Cruz,1999,5,T5,College Men's
Colorado,1999,6,T5,College Men's
North Carolina,1999,7,T5,College Men's
Stanford,1999,8,T5,College Men's
Cornell,1999,9,T9,College Men's
Iowa,1999,10,T9,College Men's
Michigan,1999,11,T9,College Men's
Yale,1999,12,T9,College Men's
Kansas,1999,13,T13,College Men's
Oberlin,1999,14,T13,College Men's
Rice,1999,15,T13,College Men's
Salisbury,1999,16,T13,College Men's
Brown,2000,1,1,College Men's
Carleton,2000,2,2,College Men's
UC Santa Barbara,2000,3,T3,College Men's
Colorado,2000,4,T3,College Men's
North Carolina,2000,5,T5,College Men's
NC State,2000,6,T5,College Men's
Salisbury,2000,7,T5,College Men's
Stanford,2000,8,T5,College Men's
Michigan,2000,9,9,College Men's
Wisconsin,2000,10,10,College Men's
Rice,2000,11,T11,College Men's
Winona State,2000,12,T11,College Men's
Notre Dame,2000,13,13,College Men's
Princeton,2000,14,14,College Men's
UC Santa Cruz,2000,15,T15,College Men's
Tufts,2000,16,T15,College Men's
Carleton,2001,1,1,College Men's
Colorado,2001,2,2,College Men's
UC Santa Barbara,2001,3,3,College Men's
Oregon,2001,4,4,College Men's
Brown,2001,5,T5,College Men's
Cornell,2001,6,T5,College Men's
Michigan,2001,7,T5,College Men's
Wisconsin,2001,8,T5,College Men's
Harvard,2001,9,9,College Men's
Penn,2001,10,10,College Men's
Ohio State,2001,11,11,College Men's
Texas A&M,2001,12,12,College Men's
Duke,2001,13,13,College Men's
UNC Wilmington,2001,14,14,College Men's
North Carolina,2001,15,15,College Men's
Tufts,2001,16,16,College Men's
Stanford,2002,1,1,College Men's
Wisconsin,2002,2,2,College Men's
